3094,2079,2073,828,2088,1244,1062
3174,2047,2001,829,2091,1295,1061
3238,2047,1959,829,2092,1276,1165
3300,2032,1899,828,2092,1213,1164
3276,2033,1948,828,2087,1048,1165
3273,2039,2073,828,2082,1060,1164
3219,2035,2187,829,2088,1058,1144
3220,1978,2189,829,2089,1086,1143
3221,1954,2187,828,2092,1197,1146
3219,1928,2189,828,2089,1340,1145
3258,1896,2187,829,2097,1395,1147
3337,1853,2187,829,2097,1345,1147
3335,1938,2186,829,2096,1416,1311
3340,1879,2139,829,2097,1329,1308
3335,1844,2141,828,2082,1214,1305
3199,1960,2141,828,2086,1300,1229
3021,1960,2140,828,2088,1352,1050
2902,1943,2139,828,2090,1412,933
2869,1873,2139,829,2092,1258,802
2978,1836,2031,829,2090,1296,903
3190,1837,2031,828,2092,1256,1095
3191,1830,2032,829,2089,1439,1157
3268,1827,2029,829,2095,1368,1160
3319,1792,2031,828,2090,1243,1159
3244,1852,2031,828,2081,1258,1155
3141,1852,2031,828,2081,1355,1155
3096,1852,2032,828,2082,1570,1229
3048,1853,2134,828,2084,1398,1062
3046,1849,2256,828,2085,1297,1032
2978,1848,2325,828,2086,1397,1122
3096,1785,2323,829,2099,1270,1122
3172,1810,2294,830,2095,1151,1205
3270,1842,2292,830,2097,1236,1322
3253,1854,2050,828,2089,1255,1315
3254,1874,1945,844,2094,1305,1316
3255,1876,1944,842,2093,1470,1271
3250,1912,2066,843,2081,1462,1272
3245,1910,2165,835,2081,1421,1273
3146,1913,2168,829,2082,1357,1270
3148,1911,2178,829,2090,1192,1199
3198,1910,2128,829,2095,1203,1260
3282,1911,2107,829,2096,1323,1267
3304,1917,2100,830,2093,1472,1373
3304,1912,2100,829,2092,1201,1286
3301,1912,2234,828,2087,1128,1288
3301,1915,1910,829,2086,1294,1313
3301,1916,1898,829,2091,1161,1259
3297,1911,1968,828,2078,1150,1245
3297,1910,2067,828,2079,1180,1245
3253,1910,2123,828,2081,1286,1255
3204,1916,1976,829,2090,1402,1370
3206,1917,1888,830,2097,1283,1224
3206,1916,1992,828,2085,1212,1141
3204,1911,2055,828,2082,1211,1160
3188,1911,2186,828,2085,1277,1200
3179,1911,2228,827,2083,1355,1253
3087,1911,2204,829,2087,1430,1297
3018,1911,2205,829,2094,1208,1036
3143,1856,2083,829,2100,1232,1157
3193,1860,1982,829,2098,1288,1190
3275,1858,1982,832,2093,1418,1274
3271,1856,1983,832,2082,1512,1272
3160,1854,2086,830,2082,1499,1272
3079,1845,2213,828,2083,1365,1271
3078,1749,2229,829,2101,1220,1200
3170,1751,2135,829,2100,1227,1202
